Track,Artist,Album
Walk This Way (Alle_Farben_Remix), MØ, Walk This Way
Waiting On, Tokyo Prose, Presence
Melody Day (Four Tet Remix), Caribou, Melody Day (Four Tet Remix)
Spare Me, Faded Paper Figures, Relics
Burnt, Kiasmos, Burnt
Taxi Sadness,µ-Ziq, Rediffusion
Kicks, FKA twigs, LP1
L.A. River Drive (Feat. Sick Jacken), Dilated Peoples, Directors of Photography
Write, Mitabishi, "Write:Read, Pt. 1"
Shaman Champagne, Second Storey, Shaman Champagne
Don't Let Me Go, The Prototypes, Don't Let Me Go

